id,name,image_url,user_id
478,Big Dipper,https://i.scdn.co/image/ab6761610000e5eb5664014b2d495192fcc7a6c5,
479,Bikini Kill,https://i.scdn.co/image/ab6761610000e5ebfc226caae7dd29541e337a18,
480,Billie Eilish,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,
481,Billie Joe Armstrong,https://i.scdn.co/image/ab6772690000c46ca1107ac09284ddba2ae34bba,
482,Billy Currington,https://i.scdn.co/image/ab6761610000e5ebacc30a1cf0224922cdbcc405,
483,Billy Idol,https://i.scdn.co/image/ab6761610000e5eb69408d3a9d82c2307dd8699d,
484,Billy Squier,https://i.scdn.co/image/6935410b9596e72ad3249d58339f49f220020432,
485,Bishop Briggs,https://i.scdn.co/image/ab6761610000e5eb1ee9f9cc927a92a0d1083cc0,
486,Black Beach,https://i.scdn.co/image/ab67616d0000b27346f2df1c4aca06890fb575d7,
487,Black Pumas,https://i.scdn.co/image/ab6761610000e5eb39d27eaedd0adde305e9c98f,
488,Black Rebel Motorcycle Club,https://i.scdn.co/image/ab6761610000e5eb671e6bba4b119e7b9675f1a4,
489,Black Sabbath,https://i.scdn.co/image/ab6761610000e5eb4870cd833ebe1092601820c3,
490,Black Tide,https://i.scdn.co/image/ab6761610000e5eb6b0c68ffcbd51e4c5a52ec41,
491,Black Veil Brides,https://i.scdn.co/image/ab6761610000e5ebf414a3ed424a8e9b30819360,
492,Blame It On Whitman,https://i.scdn.co/image/ab6761610000e5eb89d22542cd6f28e82b4d725b,
493,Blastergun,https://i.scdn.co/image/ab67616d0000b2739a6db3e570b432779f791367,
494,Bleachers,https://i.scdn.co/image/ab6761610000e5eb5612e039ce8b2d05e0bac0a9,
495,Blind Melon,https://i.scdn.co/image/ab6761610000e5ebdcc3fe6af94c5c178a36d006,
496,Blink-182,https://i.scdn.co/image/ab6761610000e5eb5da36f8b98dd965336a1507a,
497,Blitz Kids,https://i.scdn.co/image/fc8a988e105fe273214171e6e33dd5adaacc912b,
498,Blondfire,https://i.scdn.co/image/ab6761610000e5eb2c91ca6bdaae71a11293cfde,
499,"Blood, Sweat & Tears",https://i.scdn.co/image/26a546022a057e325676bef5c32acdccb456adfb,
500,Bloodhound Gang,https://i.scdn.co/image/ab6761610000e5ebb37fd268f79456bf904d617e,
501,Bloods & Laura Jane Grace,,
502,Blue Swede,https://i.scdn.co/image/8128a8fc52288607eb2e4667a4c172432b3e03e1,
503,Blue Ãyster Cult,,
504,Blues Traveler,https://i.scdn.co/image/ab6761610000e5eb0a75e80e419fa64836518832,
505,Bob Marley and the Wailers,https://i.scdn.co/image/b5aae2067db80f694a980e596e7f49618c1206c9,
506,Bob Moses,https://i.scdn.co/image/ab6761610000e5ebbf9efd924a1190400c641905,
507,Body Thief,https://i.scdn.co/image/ab6761610000e5eb3b1bd9dc3e728c932e99759d,
508,Bon Jovi,https://i.scdn.co/image/ab6761610000e5eb52aade0d2ea19706074da4b9,
509,Bonnie Tyler,https://i.scdn.co/image/ab6761610000e5eb4ca4431cf4b1227eba8288d8,
510,Boston,https://i.scdn.co/image/051ffa17a5832586c6e0f8ee8a705ad15114e9c0,
511,Boys Like Girls,https://i.scdn.co/image/ab6761610000e5ebc7f04a5b4bdfd68e31816fc2,
512,Brad Paisley,https://i.scdn.co/image/ab6761610000e5eb49b3eca30283993e5794c6ef,
513,Brandi Carlile,https://i.scdn.co/image/ab6761610000e5ebd06d316705f62c59ba7d7fe3,
514,Breaking Benjamin,https://i.scdn.co/image/ab6761610000e5ebff528d242b11fdc4261d05da,
